station, order, lines, munis, area, units, density
"Abington",6,"Kingston-Plymouth Line","Abington",431.680482519999,435,1.0076897557671
"Airport",7,"Blue; SL3","Boston",245.485856393999,4958,20.1966829080472
"Airport",5,"Blue; SL3","Boston",245.485856393999,4958,20.1966829080472
"Alewife",1,"Red-Ashmont; Red-Braintree","Arlington; Cambridge",406.154647495499,4749,11.6925905668792
"Allston Street",22,"Green - B","Boston; Brookline",43.4877057514,1804,41.4829885557236
"Anderson-Woburn",6,"Lowell Line","Woburn",471.842905159999,72,0.152593160165427
"Andover",11,"Haverhill Line","Andover",469.205061924,1710,3.64446196080676
"Andrew",12,"Red-Ashmont; Red-Braintree","Boston",298.778219481999,4358,14.586069920209
"Aquarium",9,"Blue","Boston",87.8231133488999,2413,27.4756827444017
"Arlington",8,"Green - B; Green - C; Green - D; Green - E","Boston",86.3550492269999,2692,31.1736259095121
"Ashland",14,"Worcester Line","Ashland",439.545048829999,835,1.89969151563108
"Ashmont",17,"Red-Ashmon; Red - Mattapan Trolley","Boston",295.534862332999,3948,13.3588300508233
"Assembly",4,"Orange","Boston; Everett; Somerville",235.74067551996,1236,5.24304936886188
"Attleboro",11,"Providence-Stoughton Line","Attleboro",486.285492638999,2107,4.33284568816895
"Auburndale",7,"Worcester Line","Newton",378.922685412,1144,3.01908553919419
"Ayer",15,"Fitchburg Line","Ayer",411.336298709,923,2.24390602749352
"Babcock Street",18,"Green - B","Boston; Brookline",91.9239890843999,860,9.35555569950725
"Back Bay",13,"Orange; Worcester Line; Franklin Line; Needham Line; Providence-Stoughton Line","Boston",87.7067465286999,2868,32.6998790117191
"Back Bay",2,"Orange; Worcester Line; Franklin Line; Needham Line; Providence-Stoughton Line","Boston",87.7067465286999,2868,32.6998790117191
"Back Of The Hill",19,"Green - E","Boston; Brookline",23.26932357428,580,24.9255204238547
"Ballardvale",10,"Haverhill Line","Andover",364.498379559,547,1.50069254261653
"Beachmont",3,"Blue","Revere",311.322015000747,2723,8.74657065287678
"Beaconsfield",16,"Green - D","Brookline",150.482491122999,666,4.42576405420904
"Bellevue",6,"Needham Line","Boston",320.193103635,2395,7.47986128623854
"Bellingham Square-Chelsea",8,"SL3; Newburyport Line; Rockport Line","Chelsea; Everett",197.282791433,1995,10.1123873273941
"Bellingham Square-Chelsea",2,"SL3; Newburyport Line; Rockport Line","Chelsea; Everett",197.282791433,1995,10.1123873273941
"Belmont",3,"Fitchburg Line","Belmont",424.347682163999,1214,2.86086162603528
"Beverly",7,"Newburyport Line; Rockport Line","Beverly",320.866315510379,3828,11.9302021276714
"Beverly Farms",15,"Rockport Line","Beverly",332.791069295999,509,1.52948815927291
"Blandford Street",12,"Green - B","Boston",23.9934831467,667,27.7992151419556
"Blue Hill Avenue",7,"Fairmount Line","Boston",293.859077811,2610,8.88180831248188
"Boston College",29,"Green - B","Boston; Newton",301.489451125998,1155,3.83097980936422
"Boston Landing",4,"Worcester Line","Boston",363.781004182,3915,10.7619693029417
"Boston University Central",14,"Green - B","Boston; Brookline",35.4171097386999,222,6.26815687778788
"Boston University East",13,"Green - B","Boston",27.2427751831,357,13.1043918103272
"Boston University West",15,"Green - B","Boston; Brookline",43.5857194225,90,2.06489651180427
"Bowdoin",12,"Blue","Boston",60.5114131285999,1873,30.9528385334427
"Box District",7,"SL3","Chelsea",217.38094129,1977,9.09463354178118
"Boylston",7,"Green Line - B; Green Line - C; Green Line - D; Green Line - E; SL5","Boston",20.4733576609,1209,59.0523557505639
"Boylston",2,"Green Line - B; Green Line - C; Green Line - D; Green Line - E; SL5","Boston",20.4733576609,1209,59.0523557505639
"Bradford",13,"Haverhill Line","Haverhill",251.393353323,1337,5.31835858954541
"Braintree",18,"Red-Braintree; Kingston-Plymouth Line; Middleborough-Lakeville","Braintree",475.784617364999,1249,2.62513741389379
"Braintree",4,"Red-Braintree; Kingston-Plymouth Line; Middleborough-Lakeville","Braintree",475.784617364999,1249,2.62513741389379
"Brandeis-Roberts",6,"Fitchburg Line","Waltham; Weston",331.919768974948,741,2.23246720823045
"Brandon Hall",18,"Green - C","Brookline",58.9436026475,1192,20.2227204727968
"Bridgewater",9,"Middleborough-Lakeville","Bridgewater",385.657676895,488,1.26537089558019
"Brigham Circle",15,"Green - E","Boston",58.3817849948,513,8.78698724346459
"Broadway",11,"Red-Ashmont; Red-Braintree","Boston",279.681217935,2254,8.05917543066423
"Brockton",7,"Middleborough-Lakeville","Brockton",455.933359471,2109,4.62567600328035
"Brookline Hills",15,"Green - D","Brookline",293.463899464999,2262,7.70793274444915
"Brookline Village",14,"Green - D","Brookline",165.056961559999,2182,13.2196787059286
"Butler",19,"Red - Mattapan Trolley","Boston",60.1250493434,449,7.46776933912466
"Campello",8,"Middleborough-Lakeville","Brockton",468.970547892,1797,3.83179713113633
"Canton Center",6,"Providence-Stoughton Line","Canton",367.741709560999,1197,3.25500199971591
"Canton Junction",7,"Providence-Stoughton Line","Canton",336.777240772,754,2.23886863100248
"Capen Street",23,"Red - Mattapan Trolley","Boston; Milton",132.647832864999,537,4.04831340551584
"Cedar Grove",18,"Red - Mattapan Trolley","Boston",156.980605722,1344,8.56156716824061
"Central",5,"Red-Ashmont; Red-Braintree","Cambridge",480.300113747,10380,21.6114876988509
"Central Avenue",21,"Red - Mattapan Trolley","Boston; Milton",217.965312664999,1213,5.56510568204178
"Charles-MGH",7,"Red-Ashmont; Red-Braintree","Boston",74.4848510327999,4230,56.7900712876138
"Chelsea",9,"SL3","Chelsea; Everett",354.854360973099,1047,2.95050622212692
"Chestnut Hill",18,"Green - D","Boston; Brookline; Newton",402.59463425806,769,1.91010990848695
"Chestnut Hill Avenue",27,"Green - B","Boston",26.4365657803,1266,47.8882170445678
"Chinatown",11,"Orange; SL4","Boston",26.3373637274,1153,43.7781097582094
"Chinatown",2,"Orange; SL4","Boston",26.3373637274,1153,43.7781097582094
"Chiswick Road",26,"Green - B","Boston",101.937185256,2427,23.8087798275473
"Cleveland Circle",24,"Green - C","Boston; Brookline",30.979269808,808,26.0819575479905
"Cohasset",8,"Greenbush Line","Cohasset; Hingham",261.727498337099,95,0.362972941718345
"Community College",6,"Orange","Boston; Cambridge; Somerville",270.457133421699,3775,13.9578496312537
"Concord",11,"Fitchburg Line","Concord",357.001383592,632,1.77030126225584
"Coolidge Corner",16,"Green - C","Brookline",99.1831227304,1919,19.3480498210994
"Copley",9,"Green - B; Green - C; Green - D; Green - E","Boston",98.8123172433,4070,41.1891969902767
"Court House",2,"SL1; SL2; SL3","Boston",83.5953266235,1928,23.0634902436999
"Davis",2,"Red-Ashmont; Red-Braintree","Cambridge; Somerville",405.283897721699,5882,14.5132832393925
